img_id,folder_name,category_id,category_abbre,category_full_name
000050.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000051.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000052.jpg,DIFFUSE,20,LS-Dif,Diffuse
000053.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000054.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000055.jpg,PATTERN,23,PL-Pat,Pattern
000056.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000057.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000058.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve
000059.jpg,DENSE,22,PL-Den,Random- Dense
000060.jpg,PERSPECTIVE,21,S-Per,Perspective
000061.jpg,DENSE,22,PL-Den,Random- Dense
000062.jpg,PERSPECTIVE,21,S-Per,Perspective
000063.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000064.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000065.jpg,PERSPECTIVE,21,S-Per,Perspective
000066.jpg,SCATTER,24,P-Scat,Scatter
000067.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000068.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000069.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000070.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000071.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000072.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000073.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000074.jpg,PATTERN,23,PL-Pat,Pattern
000075.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line
000076.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000077.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000078.jpg,DENSE,22,PL-Den,Random- Dense
000079.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000080.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000081.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000082.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000083.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000084.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000085.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000086.jpg,DIFFUSE,20,LS-Dif,Diffuse
000087.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000088.jpg,PERSPECTIVE,21,S-Per,Perspective
000089.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000090.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000091.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points
000092.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000093.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000094.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000095.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000096.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000097.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000098.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000099.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000100.jpg,SCATTER,24,P-Scat,Scatter
000101.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000102.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000103.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000104.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000105.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000106.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000107.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000108.jpg,SCATTER,24,P-Scat,Scatter
000109.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000110.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000111.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000112.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000113.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000114.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000115.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000116.jpg,SCATTER,24,P-Scat,Scatter
000117.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line
000118.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000119.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000120.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000121.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000122.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000123.jpg,DENSE,22,PL-Den,Random- Dense
000124.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000125.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000126.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000127.jpg,PATTERN,23,PL-Pat,Pattern
000128.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000129.jpg,PERSPECTIVE,21,S-Per,Perspective
000130.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000131.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000132.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points
000133.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000134.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points
000135.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000136.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000137.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000138.jpg,PATTERN,23,PL-Pat,Pattern
000139.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000140.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000141.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000142.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000143.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000144.jpg,DENSE,22,PL-Den,Random- Dense
000145.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000146.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000147.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000148.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000149.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000150.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve
000151.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000152.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000153.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000154.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000155.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000156.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000157.jpg,DIFFUSE,20,LS-Dif,Diffuse
000158.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000159.jpg,SCATTER,24,P-Scat,Scatter
000160.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000161.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000162.jpg,DIFFUSE,20,LS-Dif,Diffuse
000163.jpg,SCATTER,24,P-Scat,Scatter
000164.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000165.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000166.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000167.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000168.jpg,PATTERN,23,PL-Pat,Pattern
000169.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000170.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000171.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000172.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000173.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000174.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000175.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000176.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000177.jpg,PERSPECTIVE,21,S-Per,Perspective
000178.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000179.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000180.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000181.jpg,PERSPECTIVE,21,S-Per,Perspective
000182.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000183.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000184.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000185.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000186.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000187.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000188.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000189.jpg,PERSPECTIVE,21,S-Per,Perspective
000190.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000191.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000192.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve
000193.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000194.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000195.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points
000196.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000197.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve
000198.jpg,DENSE,22,PL-Den,Random- Dense
000199.jpg,SCATTER,24,P-Scat,Scatter
000200.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000201.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000202.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000203.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000204.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000205.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000206.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000207.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000208.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000209.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000210.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000211.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000212.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000213.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000214.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000215.jpg,PATTERN,23,PL-Pat,Pattern
000216.jpg,PERSPECTIVE,21,S-Per,Perspective
000217.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000218.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000219.jpg,PATTERN,23,PL-Pat,Pattern
000220.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000221.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000222.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000223.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000224.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000225.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000226.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000227.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000228.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000229.jpg,PERSPECTIVE,21,S-Per,Perspective
000230.jpg,PERSPECTIVE,21,S-Per,Perspective
000231.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000232.jpg,DENSE,22,PL-Den,Random- Dense
000233.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000234.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000235.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve
000236.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000237.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points
000238.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000239.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points
000240.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve
000241.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000242.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000243.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000244.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000245.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line
000246.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000247.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000248.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000249.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000250.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000251.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000252.jpg,PATTERN,23,PL-Pat,Pattern
000253.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000254.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000255.jpg,PATTERN,23,PL-Pat,Pattern
000256.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000257.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000258.jpg,PERSPECTIVE,21,S-Per,Perspective
000259.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000260.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000261.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000262.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000263.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve
000264.jpg,DIFFUSE,20,LS-Dif,Diffuse
000265.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000266.jpg,PERSPECTIVE,21,S-Per,Perspective
000267.jpg,DIFFUSE,20,LS-Dif,Diffuse
000268.jpg,DENSE,22,PL-Den,Random- Dense
000269.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line
000270.jpg,PERSPECTIVE,21,S-Per,Perspective
000271.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000272.jpg,DIFFUSE,20,LS-Dif,Diffuse
000273.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000274.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000275.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000276.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000277.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000278.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000279.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000280.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000281.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000282.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points
000283.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000284.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000285.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000286.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000287.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000288.jpg,PATTERN,23,PL-Pat,Pattern
000289.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000290.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000291.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000292.jpg,PERSPECTIVE,21,S-Per,Perspective
000293.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000294.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line
000295.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line
000296.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000297.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line
000298.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000299.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000300.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000301.jpg,SCATTER,24,P-Scat,Scatter
000302.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000303.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000304.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000305.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000306.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000307.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000308.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000309.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000310.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line
000311.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000312.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000313.jpg,PATTERN,23,PL-Pat,Pattern
000314.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000315.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000316.jpg,PATTERN,23,PL-Pat,Pattern
000317.jpg,PERSPECTIVE,21,S-Per,Perspective
000318.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000319.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000320.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000321.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000322.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000323.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000324.jpg,PATTERN,23,PL-Pat,Pattern
000325.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000326.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000327.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000328.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000329.jpg,SCATTER,24,P-Scat,Scatter
000330.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000331.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000332.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
000333.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000334.jpg,LINE_VERTI3,13,L-Ver3,Vertical Third Line
000335.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000336.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000337.jpg,PATTERN,23,PL-Pat,Pattern
000338.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000339.jpg,SCATTER,24,P-Scat,Scatter
000340.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000341.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000342.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000343.jpg,PERSPECTIVE,21,S-Per,Perspective
000344.jpg,POINT_MULTI_DIA,5,P-Dia,Diagonal Multi-points
000345.jpg,DIFFUSE,20,LS-Dif,Diffuse
000346.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000347.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000348.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000349.jpg,PATTERN,23,PL-Pat,Pattern
000350.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000351.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000352.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000353.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000354.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line
000355.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000356.jpg,SHAPE_VERTI_ONESIDE,2,S-RoT,Single Shape RoT
000357.jpg,PERSPECTIVE,21,S-Per,Perspective
000358.jpg,PATTERN,23,PL-Pat,Pattern
000359.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000360.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000361.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line
000362.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000363.jpg,LINE_VERTI2,12,L-Ver2,Vertical Middle Line
000364.jpg,PATTERN,23,PL-Pat,Pattern
000365.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000366.jpg,SCATTER,24,P-Scat,Scatter
000367.jpg,POINT_MULTI_TRI,15,P-Tri,Three Points Triangle
000368.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000369.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000370.jpg,SCATTER,24,P-Scat,Scatter
000371.jpg,POINT_SHAPE_CENT,3,P-Cent,Centered Single Point
000372.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000373.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000374.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000375.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000376.jpg,PATTERN,23,PL-Pat,Pattern
000377.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000378.jpg,POINT_1_ROT,1,P-RoT,Single Point RoT
000379.jpg,LINE_VERTI_MANY,14,L-VerMul,Vertical Multi-lines
000380.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000381.jpg,SPECIAL_TRIANGLE,16,LS-Tri,Line/Shape-Triangle
000382.jpg,SHAPE_VERTI_MID,4,S-Cent,Centered Single Shape
000383.jpg,HORI3,9,LS-Hori3,Horizontal Third Part
000384.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000385.jpg,SPECIAL_C,17,LS-C-Cur,C-Curve
000386.jpg,SPECIAL_S,19,LS-S-Cur,S-Curve
000387.jpg,DIA,6,LS-Dia,Diagonal Lines/Shapes
000388.jpg,SHAPE_VERTI_AVERAGE,10,S-Hori,Horizontal Arranged Shapes
000389.jpg,SCATTER,24,P-Scat,Scatter
000390.jpg,SCATTER,24,P-Scat,Scatter
000391.jpg,PATTERN,23,PL-Pat,Pattern
000392.jpg,SPECIAL_O,18,LS-O-Cur,O-Curve
000393.jpg,PERSPECTIVE,21,S-Per,Perspective
000394.jpg,POINT_MULTI_HORI,7,P-Hori,Horizontal -Arranged Points
000395.jpg,PATTERN,23,PL-Pat,Pattern
000396.jpg,PATTERN,23,PL-Pat,Pattern
000397.jpg,HORI2,8,LS-Hori2,Horizontal Middle Part
000398.jpg,POINT_MULTI_VERTI,11,P-Ver,Vertical Multi-points
